module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
lcs,anytime,Status,ST,,_bmad/lcs/workflows/status/workflow.md,lcs_status,false,lcs-lead,Status Mode,"Display consolidation state dashboard — phase, nets, coverage",,summary,
lcs,anytime,Impact Analysis,IA,,_bmad/lcs/workflows/impact-analysis/workflow.md,lcs_impact_analysis,false,lcs-lead,Analysis Mode,"Analyze impacted zones before any modification (daily use)",,report,
lcs,anytime,Dismiss Agent,DA,,,lcs_dismiss,false,lcs-lead,,"Exit LCS Lead",,,,
lcs,phase-1,Pre-flight Check,PF,10,_bmad/lcs/workflows/pre-flight/workflow.md,lcs_preflight,false,lcs-lead,Create Mode,"Verify environment, detect framework, initialize state",lcs_output,report,
lcs,phase-1,Framework Profile,FP,20,_bmad/lcs/workflows/framework-profile/workflow.md,lcs_framework_profile,false,lcs-lead,Create Mode,"Load framework-specific knowledge (WordPress/Drupal)",lcs_output,profile,
lcs,phase-2,Audit,AU,10,_bmad/lcs/workflows/audit/workflow.md,lcs_audit,false,lcs-lead,Create Mode,"Full analysis: code + site + dependencies + business logic",lcs_output,report,
lcs,phase-2,Risk Map,RM,20,_bmad/lcs/workflows/risk-map/workflow.md,lcs_risk_map,false,lcs-lead,Create Mode,"Generate prioritized risk map from audit findings",lcs_output,risk-map,
lcs,phase-3,Safety Nets,FI,10,_bmad/lcs/workflows/safety-nets/workflow.md,lcs_safety_nets,false,lcs-lead,Create Mode,"Deploy e2e tests, snapshots, linting, CI",lcs_output,report,
lcs,phase-3,Dependency Update,DU,20,_bmad/lcs/workflows/dependency-update/workflow.md,lcs_dependency_update,false,lcs-lead,Create Mode,"Update vulnerable/outdated dependencies safely",lcs_output,report,
lcs,phase-4,Refactoring,RE,10,_bmad/lcs/workflows/refactoring/workflow.md,lcs_refactoring,false,lcs-lead,Create Mode,"Targeted refactoring for testability",lcs_output,report,
lcs,phase-5,Deep Testing,PR,10,_bmad/lcs/workflows/deep-testing/workflow.md,lcs_deep_testing,false,lcs-lead,Create Mode,"Integration tests, unit tests, edge cases",lcs_output,report,
lcs,phase-6,Guard,GU,10,_bmad/lcs/workflows/guard/workflow.md,lcs_guard,false,lcs-lead,Guard Mode,"Continuous protection post-consolidation",lcs_output,report,
