module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
lcs,anytime,Status,ST,,bmad-lcs-status,lcs_status,false,bmad-lcs,Status Mode,"Display consolidation state dashboard — phase, nets, coverage",,summary,
lcs,anytime,Impact Analysis,IA,,bmad-lcs-impact-analysis,lcs_impact_analysis,false,bmad-lcs,Analysis Mode,"Analyze impacted zones before any modification (daily use)",,report,
lcs,anytime,Dismiss Agent,DA,,,lcs_dismiss,false,bmad-lcs,,"Exit LCS Lead",,,,
lcs,phase-1,Pre-flight Check,PF,10,bmad-lcs-preflight,lcs_preflight,false,bmad-lcs,Create Mode,"Verify environment, detect framework, initialize state",lcs_output,report,
lcs,phase-1,Framework Profile,FP,20,bmad-lcs-framework-profile,lcs_framework_profile,false,bmad-lcs,Create Mode,"Load framework-specific knowledge (WordPress/Drupal)",lcs_output,profile,
lcs,phase-2,Audit,AU,10,bmad-lcs-audit,lcs_audit,false,bmad-lcs,Create Mode,"Full analysis: code + site + dependencies + business logic",lcs_output,report,
lcs,phase-2,Risk Map,RM,20,bmad-lcs-risk-map,lcs_risk_map,false,bmad-lcs,Create Mode,"Generate prioritized risk map from audit findings",lcs_output,risk-map,
lcs,phase-3,Safety Nets,FI,10,bmad-lcs-safety-nets,lcs_safety_nets,false,bmad-lcs,Create Mode,"Deploy e2e tests, snapshots, linting, CI",lcs_output,report,
lcs,phase-3,Dependency Update,DU,20,bmad-lcs-dependency-update,lcs_dependency_update,false,bmad-lcs,Create Mode,"Update vulnerable/outdated dependencies safely",lcs_output,report,
lcs,phase-4,Refactoring,RE,10,bmad-lcs-refactoring,lcs_refactoring,false,bmad-lcs,Create Mode,"Targeted refactoring for testability",lcs_output,report,
lcs,phase-5,Deep Testing,PR,10,bmad-lcs-deep-testing,lcs_deep_testing,false,bmad-lcs,Create Mode,"Integration tests, unit tests, edge cases",lcs_output,report,
lcs,phase-6,Guard,GU,10,bmad-lcs-guard,lcs_guard,false,bmad-lcs,Guard Mode,"Continuous protection post-consolidation",lcs_output,report,
